year,survey,stratum,hauljoin,lat_mid,long_mid
2005,47,210,-12629,54.469085,-159.170655
2005,47,13,-12630,54.63131,-159.068945
2005,47,13,-12631,54.880485,-159.0251
2005,47,13,-12632,54.894985,-158.758105
2005,47,122,-12633,54.59022,-158.7743
2005,47,122,-12634,54.713425,-158.400255
2005,47,21,-12635,55.208155,-157.91015
2005,47,21,-12636,55.248645,-157.937305
2005,47,21,-12637,55.25034,-157.876645
2005,47,21,-12638,55.24773,-157.7593
2005,47,122,-12639,54.80128,-157.8758
2005,47,122,-12640,54.91504,-157.460195
2005,47,221,-12641,54.950205,-157.28945
2005,47,21,-12642,55.273305,-157.173455
2005,47,520,-12643,55.0126,-157.012505
2005,47,122,-12644,55.224945,-156.72785
2005,47,122,-12646,55.30369,-156.4784
2005,47,320,-12647,55.180285,-156.3941
2005,47,221,-12648,55.600545,-155.57639
2005,47,221,-12649,55.559115,-155.614845
2005,47,520,-12650,55.24562,-155.8801
2005,47,221,-12652,55.57772,-155.56
2005,47,220,-12653,55.51928,-156.552245
2005,47,220,-12654,55.650635,-156.2585
2005,47,220,-12655,55.79037,-156.67865
2005,47,220,-12656,56.169545,-156.424895
2005,47,220,-12657,56.13917,-156.06755
2005,47,22,-12658,56.002805,-155.868745
2005,47,22,-12659,56.28056,-155.6789
2005,47,22,-12660,56.339085,-155.6064
2005,47,22,-12661,56.36243,-155.57505
2005,47,22,-12662,56.183245,-155.624405
2005,47,22,-12663,56.144975,-155.396995
2005,47,22,-12665,55.925665,-155.345845
2005,47,22,-12666,55.814735,-155.326795
2005,47,22,-12667,55.779065,-155.32515
2005,47,22,-12668,55.766725,-155.380005
2005,47,520,-12670,55.624275,-154.796855
2005,47,320,-12671,55.68108,-155.0251
2005,47,122,-12672,55.75582,-155.14886
2005,47,420,-12673,55.733765,-154.3198
2005,47,420,-12674,55.87288,-154.15025
2005,47,22,-12675,56.191775,-154.7798
2005,47,22,-12676,56.27547,-154.504505
2005,47,122,-12677,56.12879,-154.202705
2005,47,320,-12678,56.01483,-154.543195
2005,47,320,-12679,55.923315,-154.06316
2005,47,330,-12680,56.021975,-153.476405
2005,47,134,-12681,56.146385,-153.9077
2005,47,30,-12682,56.66167,-153.896855
2005,47,30,-12683,56.777905,-153.54915
2005,47,30,-12684,56.77822,-153.738945
2005,47,130,-12685,56.80952,-153.2919
2005,47,130,-12686,56.644765,-153.233505
2005,47,130,-12687,56.63622,-153.223605
2005,47,31,-12688,56.546745,-153.3061
2005,47,130,-12689,56.49097,-153.614395
2005,47,130,-12690,56.494115,-153.55624
2005,47,31,-12691,56.490905,-153.088405
2005,47,31,-12692,56.54622,-153.064705
2005,47,31,-12693,56.544215,-152.998295
2005,47,330,-12694,56.281445,-153.175795
2005,47,31,-12695,56.69305,-152.757095
2005,47,130,-12696,56.65009,-152.6241
2005,47,134,-12697,56.59223,-152.4768
2005,47,134,-12698,56.586555,-152.43819
2005,47,231,-12699,56.53889,-152.39605
2005,47,31,-12700,56.587315,-152.92505
2005,47,130,-12701,56.781445,-152.567645
2005,47,134,-12702,56.57946,-151.9909
2005,47,134,-12703,56.71641,-151.82245
2005,47,31,-12704,56.740275,-151.896855
2005,47,134,-12705,56.76174,-151.8032
